Product ID,Field,English Content,Finnish Translation
"15490711912797","body_html","Tyylikäs puuvilla-elastaanipikee jokapäiväiseen käyttöön. Joustava materiaali takaa parhaan käyttömu...","Tyylikäs puuvilla-elastaanipikee jokapäiväiseen käyttöön. Joustava materiaali takaa parhaan käyttömu..."
"15490711912797","handle","poisto-t145","Poisto-T145"
"15490711912797","product_type","Outlet - discontinued items","Outlet"
"15490714992989","title","Interlock Tee","INTERLOCK TEE"
"15490714992989","body_html","Pehmeä, ylellisen tuntuinen interlock T-paita. Valmistettu rengaskehrätystä pitkäkuituisesta puuvill...","Pehmeä, ylellisen tuntuinen interlock T-paita. Valmistettu rengaskehrätystä pitkäkuituisesta puuvill..."
"15490714992989","handle","poisto-t520","Poisto-T520"
"15490714992989","product_type","Outlet - discontinued items","Outlet"
"15490716336477","title","Naisten Interlock Tee","NAISTEN INTERLOCK TEE"
"15490716336477","body_html","Ainutlaatuisen kankaan ja uuden designin yhdistelmä tekee interlockista yhden parhaista tuotteista m...","Ainutlaatuisen kankaan ja uuden designin yhdistelmä tekee interlockista yhden parhaista tuotteista m..."
"15490716336477","handle","poisto-t580","Poisto-T580"
"15490716336477","product_type","Outlet - discontinued items","Outlet"
"15490717155677","title","Ladies Stretch Tee Extra Long","STRETCH TEE"
"15490717155677","body_html","Designed for the perfect tight fit with extra length. The fine ligthweight stretch fabric gives grea...","Täydellinen joustava T-paita. Neuloksen jokaisessa silmukassa on käytetty elastaania, jonka ansiosta..."
"15490717155677","handle","t455","T400"
"15490717155677","product_type","V-neck","T-paidat"
"15490717811037","title","Ladies Luxury Tee","LUXURY TEE"
"15490717811037","body_html","Our Luxury Tee is, by far, the best quality single jersey T-shirt we have in our collection. The uni...","Malliston paras single jersey T-paita, joka on valmistettu korkealaatuisesta, pitkäkuituisesta orgaa..."
"15490717811037","handle","t5001","T5000"
"15490717811037","product_type","Outlet - discontinued items","T-paidat"
"15490781938013","title","Draco Snapback","DRACO SNAPBACK LIPPIS"
"15490781938013","body_html","• Material: 20% wool, 80% acrylic
• Snapback adjuster
• Silver/black foil sticker
• Black under peak","• 80 % akryyliä, 20 % villaa
• Lipan alapuoli ja hikinauha mustaa puuvillaa
• 6 paneelia
• Lipassa h..."
"15490781938013","handle","91071","91071"
"15490781938013","product_type","Apparel","Päähineet, huivit ja hanskat"
"15490795077981","title","Athleisure 6 Panel Cap","BLANCO SUBLIMOITAVA KÄSIPYYHE 30 x 50 CM"
"15490795077981","body_html","• 100% Brushed Cotton
• TearAway label for ease of rebranding
• 6 panel design
• Mid profile
• Pre-c...","• 60 % RPET-mikrokuitupolyesteriä, 40 % puuvillafroteeta
• 400 g/m²
• Koko: n. 30 x 50 cm, toleranss..."
"15490795077981","handle","b20","795"
"15490795077981","product_type","Apparel","Tarjoukset"
"15490821652829","title","Original Cuffed Beanie","POLYLANA® ORIGINAL CUFFED BEANIE"
"15490821652829","body_html","• 100% Soft Touch Acrylic
• *Heather - 55% Polyester/45% Acrylic
• Double layer knit
• Cuffed design...","• 100% polylana® polyesteriseosta
• Polylanalanka on sekoitus kierrätys- ja uutta polyesteria
• Kaks..."
"15490821652829","handle","b45","B375R"
"15490821652829","product_type","Apparel","Päähineet, huivit ja hanskat"
"15490834694493","title","Microknit Snapback Trucker","MICROKNIT SNAPBACK TRUCKER-LIPPIS"
"15490834694493","body_html","• 96% Polyester/ 4% Elastane front panel
• 100% Polyester mesh rear panels
• TearAway label for ease...","• Etupaneeli: 96 % polyesteriä, 4 % elastaania
• Lakin sivut ja takaosa: 100 % polyesteriverkkoa
• 5..."
"15490834694493","handle","b642","B642"
"15490834694493","product_type","Apparel","Päähineet, huivit ja hanskat"
"15490835382621","title","Vintage Snapback Trucker","VINTAGE SNAPBACK TRUCKER-LIPPIS"
"15490835382621","body_html","• 100% Polyester Front Panel
• 100% Nylon mesh rear panels
• Padded front panel and peak
• Retro sty...","• 100 % polyesteriä
• 5 paneelia
• Retrotyylinen verkkolippis
• Pehmustettu saumaton etupaneeli
• Sn..."
"15490835382621","handle","b645","B645"
