Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bleaching (product.metafields.stanley_stella.bleaching),Category (product.metafields.stanley_stella.category),Categorycode (product.metafields.stanley_stella.categorycode),Cleaning (product.metafields.stanley_stella.cleaning),Countryoforigin (product.metafields.stanley_stella.countryoforigin),Drying (product.metafields.stanley_stella.drying),Fit (product.metafields.stanley_stella.fit),Gauge (product.metafields.stanley_stella.gauge),Gender (product.metafields.stanley_stella.gender),Ironing (product.metafields.stanley_stella.ironing),Languagecode (product.metafields.stanley_stella.languagecode),Longdescription (product.metafields.stanley_stella.longdescription),Longnote (product.metafields.stanley_stella.longnote),Neckline (product.metafields.stanley_stella.neckline),Piecesperbox (product.metafields.stanley_stella.piecesperbox),Piecesperpolybag (product.metafields.stanley_stella.piecesperpolybag),Productlifecycle (product.metafields.stanley_stella.productlifecycle),Product Grouping Option 1 (product.metafields.stanley_stella.product_grouping_option_1),Product Grouping Option 1 Value (product.metafields.stanley_stella.product_grouping_option_1_value),Shortnote (product.metafields.stanley_stella.shortnote),Sleeve (product.metafields.stanley_stella.sleeve),Stylecode (product.metafields.stanley_stella.stylecode),Stylenotice (product.metafields.stanley_stella.stylenotice),Stylepublished (product.metafields.stanley_stella.stylepublished),Stylesegment (product.metafields.stanley_stella.stylesegment),Type (product.metafields.stanley_stella.type),Typecode (product.metafields.stanley_stella.typecode),Washing (product.metafields.stanley_stella.washing),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
breezer-xxs,,,,,,,,,XXS,,,Natural Raw - C054,,,,,STTU964C0542S,155.0,shopify,594,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM3_STTU964_C134.jpg?v=1751952488,7,Violet - C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM4_STTU964_C054.jpg?v=1751953537,g,,,
breezer-xxs,,,,,,,,,XXS,,,India Ink Grey - C715,,,,,STTU964C7152S,155.0,shopify,625,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM8_STTU964_C133.jpg?v=1751952512,8,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM0_STTU964_C715.jpg?v=1751952074,g,,,
breezer-xxs,,,,,,,,,XXS,,,Heather Grey - C250,,,,,STTU964C2502S,155.0,shopify,600,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM1_STTU964_C134.jpg?v=1751952537,9,Violet - C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM8_STTU964_C250.jpg?v=1751953931,g,,,
breezer-xxs,,,,,,,,,XXS,,,Heritage Brown - C730,,,,,STTU964C7302S,155.0,shopify,575,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM1_STTU964_C133.jpg?v=1751952561,10,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM4_STTU964_C730.jpg?v=1751954127,g,,,
breezer-xxs,,,,,,,,,XXS,,,Khaki - C223,,,,,STTU964C2232S,155.0,shopify,585,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STTU964_C133.jpg?v=1751952585,11,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STTU964_C223.jpg?v=1751954152,g,,,
breezer-xxs,,,,,,,,,XXS,,,Blue Ice - C728,,,,,STTU964C7282S,155.0,shopify,434,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM9_STTU964_C133.jpg?v=1751952609,12,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM9_STTU964_C728.jpg?v=1751954519,g,,,
breezer-xxs,,,,,,,,,XXS,,,French Navy - C727,,,,,STTU964C7272S,155.0,shopify,595,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM8_STTU964_C134.jpg?v=1751952634,13,Violet - C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM3_STTU964_C727.jpg?v=1751954725,g,,,
breezer-xxs,,,,,,,,,XXS,,,Burgundy - C244,,,,,STTU964C2442S,155.0,shopify,595,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM6_STTU964_C134.jpg?v=1751952658,14,Violet - C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STTU964_C244.jpg?v=1751954921,g,,,
breezer-xxs,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM5_STTU964_C133.jpg?v=1751952682,15,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breezer-xxs,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/2784/1148/files/SFM0_STTU964_C133.jpg?v=1751952707,16,Lemon Sorbet - C133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
