Field Name,Value
variants.variant.6.currency,EUR
variants.variant.6.color,30
variants.variant.6.hexcolors.hexcolor,#ffffff
variants.variant.6.color_name,White
variants.variant.6.size,152
variants.variant.6.available,10-50
variants.variant.6.free_stock,39
variants.variant.6.incoming,0
variants.variant.6.mfstock,33804
variants.variant.6.outlet_discount_percent,
variants.variant.6.leaving,0
variants.variant.7.code,1033030164
variants.variant.7.recommended_retail_price,3.50
variants.variant.7.recommended_retail_price_brutto,4.39
variants.variant.7.wholesale_price,
variants.variant.7.discount,0.00
variants.variant.7.vat,25.50
variants.variant.7.currency,EUR
variants.variant.7.color,30
variants.variant.7.hexcolors.hexcolor,#ffffff
variants.variant.7.color_name,White
variants.variant.7.size,164
variants.variant.7.available,10-50
variants.variant.7.free_stock,50
variants.variant.7.incoming,0
variants.variant.7.mfstock,13896
variants.variant.7.outlet_discount_percent,
variants.variant.7.leaving,0
variants.variant.8.code,1033032092
variants.variant.8.recommended_retail_price,4.50
variants.variant.8.recommended_retail_price_brutto,5.65
variants.variant.8.wholesale_price,
variants.variant.8.discount,0.00
variants.variant.8.vat,25.50
variants.variant.8.currency,EUR
variants.variant.8.color,32
variants.variant.8.hexcolors.hexcolor,#002b58
variants.variant.8.color_name,Navy
variants.variant.8.size,092
variants.variant.8.available,< 10
variants.variant.8.free_stock,2
variants.variant.8.incoming,0
variants.variant.8.mfstock,864
variants.variant.8.outlet_discount_percent,
variants.variant.8.leaving,0
variants.variant.9.code,1033032098
variants.variant.9.recommended_retail_price,4.50
variants.variant.9.recommended_retail_price_brutto,5.65
variants.variant.9.wholesale_price,
variants.variant.9.discount,0.00
variants.variant.9.vat,25.50
variants.variant.9.currency,EUR
variants.variant.9.color,32
variants.variant.9.hexcolors.hexcolor,#002b58
variants.variant.9.color_name,Navy
variants.variant.9.size,098
variants.variant.9.available,10-50
variants.variant.9.free_stock,16
variants.variant.9.incoming,0
variants.variant.9.mfstock,3240
variants.variant.9.outlet_discount_percent,
variants.variant.9.leaving,0
variants.variant.10.code,1033032104
variants.variant.10.recommended_retail_price,4.50
variants.variant.10.recommended_retail_price_brutto,5.65
variants.variant.10.wholesale_price,
variants.variant.10.discount,0.00
variants.variant.10.vat,25.50
variants.variant.10.currency,EUR
variants.variant.10.color,32
variants.variant.10.hexcolors.hexcolor,#002b58
variants.variant.10.color_name,Navy
variants.variant.10.size,104
variants.variant.10.available,50-100
variants.variant.10.free_stock,83
variants.variant.10.incoming,0
variants.variant.10.mfstock,3240
